beginDate,endDate,price,unit,farmingMethod,marketingYear,weekNumber,memberStateCode,memberStateName
21/04/2025,27/04/2025,€359.74,€/100Kg,Free range,2025,17,AT,Austria
21/04/2025,27/04/2025,€285.42,€/100Kg,Barn,2025,17,AT,Austria
21/04/2025,27/04/2025,€528.48,€/100Kg,Organic,2025,17,AT,Austria
14/04/2025,20/04/2025,€341.16,€/100Kg,Free range,2025,16,AT,Austria
14/04/2025,20/04/2025,€277.95,€/100Kg,Barn,2025,16,AT,Austria
14/04/2025,20/04/2025,€521.32,€/100Kg,Organic,2025,16,AT,Austria
07/04/2025,13/04/2025,€311.57,€/100Kg,Free range,2025,15,AT,Austria
07/04/2025,13/04/2025,€520.80,€/100Kg,Organic,2025,15,AT,Austria
07/04/2025,13/04/2025,€278.58,€/100Kg,Barn,2025,15,AT,Austria
31/03/2025,06/04/2025,€528.27,€/100Kg,Organic,2025,14,AT,Austria
31/03/2025,06/04/2025,€275.22,€/100Kg,Barn,2025,14,AT,Austria
31/03/2025,06/04/2025,€343.23,€/100Kg,Free range,2025,14,AT,Austria
24/03/2025,30/03/2025,€342.54,€/100Kg,Free range,2025,13,AT,Austria
24/03/2025,30/03/2025,€278.70,€/100Kg,Barn,2025,13,AT,Austria
24/03/2025,30/03/2025,€526.13,€/100Kg,Organic,2025,13,AT,Austria
17/03/2025,23/03/2025,€524.48,€/100Kg,Organic,2025,12,AT,Austria
17/03/2025,23/03/2025,€275.38,€/100Kg,Barn,2025,12,AT,Austria
17/03/2025,23/03/2025,€342.49,€/100Kg,Free range,2025,12,AT,Austria
10/03/2025,16/03/2025,€525.09,€/100Kg,Organic,2025,11,AT,Austria
10/03/2025,16/03/2025,€277.81,€/100Kg,Barn,2025,11,AT,Austria
10/03/2025,16/03/2025,€335.10,€/100Kg,Free range,2025,11,AT,Austria
03/03/2025,09/03/2025,€276.78,€/100Kg,Barn,2025,10,AT,Austria
03/03/2025,09/03/2025,€338.39,€/100Kg,Free range,2025,10,AT,Austria
