memberStateCode,memberStateName,beginDate,endDate,price,unit,weekNumber,productName,priceType
AT,Austria,21/04/2025,27/04/2025,€356.29,national currency/100kg,17,Whole broiler (65%),Selling price
AT,Austria,21/04/2025,27/04/2025,€896.44,national currency/100kg,17,Breast Fillet,Selling price
AT,Austria,21/04/2025,27/04/2025,€420.48,national currency/100kg,17,Legs,Selling price
AT,Austria,14/04/2025,20/04/2025,€422.54,national currency/100kg,16,Legs,Selling price
AT,Austria,14/04/2025,20/04/2025,€355.95,national currency/100kg,16,Whole broiler (65%),Selling price
AT,Austria,14/04/2025,20/04/2025,€899.23,national currency/100kg,16,Breast Fillet,Selling price
AT,Austria,07/04/2025,13/04/2025,€438.87,national currency/100kg,15,Legs,Selling price
AT,Austria,07/04/2025,13/04/2025,€891.95,national currency/100kg,15,Breast Fillet,Selling price
AT,Austria,07/04/2025,13/04/2025,€349.81,national currency/100kg,15,Whole broiler (65%),Selling price
AT,Austria,31/03/2025,06/04/2025,€333.07,national currency/100kg,14,Whole broiler (65%),Selling price
AT,Austria,31/03/2025,06/04/2025,€435.73,national currency/100kg,14,Legs,Selling price
AT,Austria,31/03/2025,06/04/2025,€876.86,national currency/100kg,14,Breast Fillet,Selling price
AT,Austria,24/03/2025,30/03/2025,€344.20,national currency/100kg,13,Whole broiler (65%),Selling price
AT,Austria,24/03/2025,30/03/2025,€885.22,national currency/100kg,13,Breast Fillet,Selling price
AT,Austria,24/03/2025,30/03/2025,€435.62,national currency/100kg,13,Legs,Selling price
AT,Austria,17/03/2025,23/03/2025,€479.30,national currency/100kg,12,Legs,Selling price
AT,Austria,17/03/2025,23/03/2025,€880.47,national currency/100kg,12,Breast Fillet,Selling price
AT,Austria,17/03/2025,23/03/2025,€343.45,national currency/100kg,12,Whole broiler (65%),Selling price
AT,Austria,10/03/2025,16/03/2025,€890.82,national currency/100kg,11,Breast Fillet,Selling price
AT,Austria,10/03/2025,16/03/2025,€349.41,national currency/100kg,11,Whole broiler (65%),Selling price
AT,Austria,10/03/2025,16/03/2025,€426.76,national currency/100kg,11,Legs,Selling price
AT,Austria,03/03/2025,09/03/2025,€887.49,national currency/100kg,10,Breast Fillet,Selling price
AT,Austria,03/03/2025,09/03/2025,€347.92,national currency/100kg,10,Whole broiler (65%),Selling price
AT,Austria,03/03/2025,09/03/2025,€434.51,national currency/100kg,10,Legs,Selling price
AT,Austria,24/02/2025,02/03/2025,€476.66,national currency/100kg,9,Legs,Selling price
AT,Austria,24/02/2025,02/03/2025,€867.32,national currency/100kg,9,Breast Fillet,Selling price
AT,Austria,24/02/2025,02/03/2025,€346.89,national currency/100kg,9,Whole broiler (65%),Selling price
AT,Austria,17/02/2025,23/02/2025,€889.46,national currency/100kg,8,Breast Fillet,Selling price
AT,Austria,17/02/2025,23/02/2025,€342.41,national currency/100kg,8,Whole broiler (65%),Selling price
AT,Austria,17/02/2025,23/02/2025,€421.24,national currency/100kg,8,Legs,Selling price
AT,Austria,10/02/2025,16/02/2025,€479.45,national currency/100kg,7,Legs,Selling price
AT,Austria,10/02/2025,16/02/2025,€343.12,national currency/100kg,7,Whole broiler (65%),Selling price
AT,Austria,10/02/2025,16/02/2025,€847.91,national currency/100kg,7,Breast Fillet,Selling price
AT,Austria,03/02/2025,09/02/2025,€341.03,national currency/100kg,6,Whole broiler (65%),Selling price
AT,Austria,03/02/2025,09/02/2025,€475.35,national currency/100kg,6,Legs,Selling price
AT,Austria,03/02/2025,09/02/2025,€881.82,national currency/100kg,6,Breast Fillet,Selling price
AT,Austria,27/01/2025,02/02/2025,€342.72,national currency/100kg,5,Whole broiler (65%),Selling price
AT,Austria,27/01/2025,02/02/2025,€883.01,national currency/100kg,5,Breast Fillet,Selling price
AT,Austria,27/01/2025,02/02/2025,€483.83,national currency/100kg,5,Legs,Selling price
AT,Austria,20/01/2025,26/01/2025,€341.35,national currency/100kg,4,Whole broiler (65%),Selling price
AT,Austria,20/01/2025,26/01/2025,€886.57,national currency/100kg,4,Breast Fillet,Selling price
AT,Austria,20/01/2025,26/01/2025,€446.00,national currency/100kg,4,Legs,Selling price
AT,Austria,13/01/2025,19/01/2025,€357.00,national currency/100kg,3,Legs,Selling price
AT,Austria,13/01/2025,19/01/2025,€847.00,national currency/100kg,3,Breast Fillet,Selling price
AT,Austria,13/01/2025,19/01/2025,€342.00,national currency/100kg,3,Whole broiler (65%),Selling price
AT,Austria,06/01/2025,12/01/2025,€870.90,national currency/100kg,2,Breast Fillet,Selling price
AT,Austria,06/01/2025,12/01/2025,€342.95,national currency/100kg,2,Whole broiler (65%),Selling price
AT,Austria,06/01/2025,12/01/2025,€366.09,national currency/100kg,2,Legs,Selling price
AT,Austria,30/12/2024,05/01/2025,€340.00,national currency/100kg,53,Whole broiler (65%),Selling price
AT,Austria,30/12/2024,05/01/2025,€479.00,national currency/100kg,1,Legs,Selling price
AT,Austria,30/12/2024,05/01/2025,€878.00,national currency/100kg,53,Breast Fillet,Selling price
AT,Austria,30/12/2024,05/01/2025,€340.00,national currency/100kg,1,Whole broiler (65%),Selling price
AT,Austria,30/12/2024,05/01/2025,€878.00,national currency/100kg,1,Breast Fillet,Selling price
AT,Austria,30/12/2024,05/01/2025,€479.00,national currency/100kg,53,Legs,Selling price
AT,Austria,23/12/2024,29/12/2024,€469.70,national currency/100kg,52,Legs,Selling price
AT,Austria,23/12/2024,29/12/2024,€886.65,national currency/100kg,52,Breast Fillet,Selling price
AT,Austria,23/12/2024,29/12/2024,€344.96,national currency/100kg,52,Whole broiler (65%),Selling price
AT,Austria,16/12/2024,22/12/2024,€347.21,national currency/100kg,51,Whole broiler (65%),Selling price
AT,Austria,16/12/2024,22/12/2024,€443.43,national currency/100kg,51,Legs,Selling price
AT,Austria,16/12/2024,22/12/2024,€894.89,national currency/100kg,51,Breast Fillet,Selling price
AT,Austria,09/12/2024,15/12/2024,€339.73,national currency/100kg,50,Legs,Selling price
AT,Austria,09/12/2024,15/12/2024,€880.80,national currency/100kg,50,Breast Fillet,Selling price
AT,Austria,09/12/2024,15/12/2024,€341.78,national currency/100kg,50,Whole broiler (65%),Selling price
AT,Austria,02/12/2024,08/12/2024,€295.52,national currency/100kg,49,Legs,Selling price
AT,Austria,02/12/2024,08/12/2024,€842.22,national currency/100kg,49,Breast Fillet,Selling price
AT,Austria,02/12/2024,08/12/2024,€344.85,national currency/100kg,49,Whole broiler (65%),Selling price
AT,Austria,25/11/2024,01/12/2024,€375.98,national currency/100kg,48,Legs,Selling price
AT,Austria,25/11/2024,01/12/2024,€342.43,national currency/100kg,48,Whole broiler (65%),Selling price
AT,Austria,25/11/2024,01/12/2024,€866.00,national currency/100kg,48,Breast Fillet,Selling price
AT,Austria,18/11/2024,24/11/2024,€266.01,national currency/100kg,47,Legs,Selling price
AT,Austria,18/11/2024,24/11/2024,€844.30,national currency/100kg,47,Breast Fillet,Selling price
AT,Austria,18/11/2024,24/11/2024,€348.21,national currency/100kg,47,Whole broiler (65%),Selling price
AT,Austria,11/11/2024,17/11/2024,€431.12,national currency/100kg,46,Legs,Selling price
AT,Austria,11/11/2024,17/11/2024,€343.41,national currency/100kg,46,Whole broiler (65%),Selling price
AT,Austria,11/11/2024,17/11/2024,€834.61,national currency/100kg,46,Breast Fillet,Selling price
AT,Austria,04/11/2024,10/11/2024,€896.12,national currency/100kg,45,Breast Fillet,Selling price
AT,Austria,04/11/2024,10/11/2024,€419.09,national currency/100kg,45,Legs,Selling price
AT,Austria,04/11/2024,10/11/2024,€381.07,national currency/100kg,45,Whole broiler (65%),Selling price
AT,Austria,28/10/2024,03/11/2024,€434.62,national currency/100kg,44,Legs,Selling price
AT,Austria,28/10/2024,03/11/2024,€340.18,national currency/100kg,44,Whole broiler (65%),Selling price
AT,Austria,28/10/2024,03/11/2024,€905.97,national currency/100kg,44,Breast Fillet,Selling price
AT,Austria,21/10/2024,27/10/2024,€840.30,national currency/100kg,43,Breast Fillet,Selling price
AT,Austria,21/10/2024,27/10/2024,€446.03,national currency/100kg,43,Legs,Selling price
AT,Austria,21/10/2024,27/10/2024,€342.03,national currency/100kg,43,Whole broiler (65%),Selling price
AT,Austria,14/10/2024,20/10/2024,€456.46,national currency/100kg,42,Legs,Selling price
AT,Austria,14/10/2024,20/10/2024,€342.14,national currency/100kg,42,Whole broiler (65%),Selling price
AT,Austria,14/10/2024,20/10/2024,€873.22,national currency/100kg,42,Breast Fillet,Selling price
AT,Austria,07/10/2024,13/10/2024,€427.87,national currency/100kg,41,Legs,Selling price
AT,Austria,07/10/2024,13/10/2024,€343.15,national currency/100kg,41,Whole broiler (65%),Selling price
AT,Austria,07/10/2024,13/10/2024,€877.81,national currency/100kg,41,Breast Fillet,Selling price
AT,Austria,30/09/2024,06/10/2024,€857.43,national currency/100kg,40,Breast Fillet,Selling price
AT,Austria,30/09/2024,06/10/2024,€468.12,national currency/100kg,40,Legs,Selling price
AT,Austria,30/09/2024,06/10/2024,€334.88,national currency/100kg,40,Whole broiler (65%),Selling price
AT,Austria,23/09/2024,29/09/2024,€335.86,national currency/100kg,39,Whole broiler (65%),Selling price
AT,Austria,23/09/2024,29/09/2024,€404.14,national currency/100kg,39,Legs,Selling price
AT,Austria,23/09/2024,29/09/2024,€850.11,national currency/100kg,39,Breast Fillet,Selling price
AT,Austria,16/09/2024,22/09/2024,€422.88,national currency/100kg,38,Legs,Selling price
AT,Austria,16/09/2024,22/09/2024,€339.91,national currency/100kg,38,Whole broiler (65%),Selling price
AT,Austria,16/09/2024,22/09/2024,€859.45,national currency/100kg,38,Breast Fillet,Selling price
AT,Austria,09/09/2024,15/09/2024,€339.44,national currency/100kg,37,Whole broiler (65%),Selling price
AT,Austria,09/09/2024,15/09/2024,€453.82,national currency/100kg,37,Legs,Selling price
AT,Austria,09/09/2024,15/09/2024,€842.22,national currency/100kg,37,Breast Fillet,Selling price
AT,Austria,02/09/2024,08/09/2024,€337.86,national currency/100kg,36,Whole broiler (65%),Selling price
AT,Austria,02/09/2024,08/09/2024,€405.55,national currency/100kg,36,Legs,Selling price
AT,Austria,02/09/2024,08/09/2024,€816.83,national currency/100kg,36,Breast Fillet,Selling price
AT,Austria,26/08/2024,01/09/2024,€440.09,national currency/100kg,35,Legs,Selling price
AT,Austria,26/08/2024,01/09/2024,€815.53,national currency/100kg,35,Breast Fillet,Selling price
AT,Austria,26/08/2024,01/09/2024,€344.47,national currency/100kg,35,Whole broiler (65%),Selling price
AT,Austria,19/08/2024,25/08/2024,€330.74,national currency/100kg,34,Whole broiler (65%),Selling price
AT,Austria,19/08/2024,25/08/2024,€465.05,national currency/100kg,34,Legs,Selling price
AT,Austria,19/08/2024,25/08/2024,€846.65,national currency/100kg,34,Breast Fillet,Selling price
AT,Austria,12/08/2024,18/08/2024,€446.36,national currency/100kg,33,Legs,Selling price
AT,Austria,12/08/2024,18/08/2024,€863.19,national currency/100kg,33,Breast Fillet,Selling price
AT,Austria,12/08/2024,18/08/2024,€330.45,national currency/100kg,33,Whole broiler (65%),Selling price
AT,Austria,05/08/2024,11/08/2024,€839.69,national currency/100kg,32,Breast Fillet,Selling price
AT,Austria,05/08/2024,11/08/2024,€329.22,national currency/100kg,32,Whole broiler (65%),Selling price
AT,Austria,05/08/2024,11/08/2024,€424.80,national currency/100kg,32,Legs,Selling price
AT,Austria,29/07/2024,04/08/2024,€335.73,national currency/100kg,31,Whole broiler (65%),Selling price
AT,Austria,29/07/2024,04/08/2024,€861.79,national currency/100kg,31,Breast Fillet,Selling price
AT,Austria,29/07/2024,04/08/2024,€448.97,national currency/100kg,31,Legs,Selling price
AT,Austria,22/07/2024,28/07/2024,€462.06,national currency/100kg,30,Legs,Selling price
AT,Austria,22/07/2024,28/07/2024,€337.17,national currency/100kg,30,Whole broiler (65%),Selling price
AT,Austria,22/07/2024,28/07/2024,€842.26,national currency/100kg,30,Breast Fillet,Selling price
AT,Austria,15/07/2024,21/07/2024,€865.13,national currency/100kg,29,Breast Fillet,Selling price
AT,Austria,15/07/2024,21/07/2024,€417.58,national currency/100kg,29,Legs,Selling price
