memberStateCode,memberStateName,beginDate,endDate,price,unit,weekNumber,category,marketName,marketingYear
AT,Austria,21/04/2025,27/04/2025,€720.00,100CARC,17,Heavy Lamb,AT,2025
AT,Austria,14/04/2025,20/04/2025,€726.00,100CARC,16,Heavy Lamb,AT,2025
AT,Austria,07/04/2025,13/04/2025,€769.00,100CARC,15,Heavy Lamb,AT,2025
AT,Austria,31/03/2025,06/04/2025,€794.00,100CARC,14,Heavy Lamb,AT,2025
AT,Austria,24/03/2025,30/03/2025,€758.00,100CARC,13,Heavy Lamb,AT,2025
AT,Austria,17/03/2025,23/03/2025,€763.00,100CARC,12,Heavy Lamb,AT,2025
AT,Austria,10/03/2025,16/03/2025,€762.00,100CARC,11,Heavy Lamb,AT,2025
AT,Austria,03/03/2025,09/03/2025,€774.00,100CARC,10,Heavy Lamb,AT,2025
AT,Austria,24/02/2025,02/03/2025,€792.00,100CARC,9,Heavy Lamb,AT,2025
AT,Austria,17/02/2025,23/02/2025,€743.00,100CARC,8,Heavy Lamb,AT,2025
AT,Austria,10/02/2025,16/02/2025,€701.00,100CARC,7,Heavy Lamb,AT,2025
AT,Austria,03/02/2025,09/02/2025,€722.00,100CARC,6,Heavy Lamb,AT,2025
AT,Austria,27/01/2025,02/02/2025,€697.00,100CARC,5,Heavy Lamb,AT,2025
AT,Austria,20/01/2025,26/01/2025,€712.00,100CARC,4,Heavy Lamb,AT,2025
AT,Austria,13/01/2025,19/01/2025,€678.00,100CARC,3,Heavy Lamb,AT,2025
AT,Austria,06/01/2025,12/01/2025,€725.00,100CARC,2,Heavy Lamb,AT,2025
AT,Austria,30/12/2024,05/01/2025,€679.00,100CARC,1,Heavy Lamb,AT,2025
AT,Austria,30/12/2024,05/01/2025,€679.00,100CARC,53,Heavy Lamb,AT,2024
AT,Austria,16/12/2024,22/12/2024,€716.00,100CARC,51,Heavy Lamb,AT,2024
AT,Austria,09/12/2024,15/12/2024,€707.00,100CARC,50,Heavy Lamb,AT,2024
AT,Austria,02/12/2024,08/12/2024,€710.00,100CARC,49,Heavy Lamb,AT,2024
AT,Austria,25/11/2024,01/12/2024,€676.00,100CARC,48,Heavy Lamb,AT,2024
AT,Austria,18/11/2024,24/11/2024,€723.00,100CARC,47,Heavy Lamb,AT,2024
AT,Austria,11/11/2024,17/11/2024,€690.00,100CARC,46,Heavy Lamb,AT,2024
AT,Austria,04/11/2024,10/11/2024,€719.00,100CARC,45,Heavy Lamb,AT,2024
