sugarRegion,price,unit,ym,marketingYear,marketingYearMonth,weight,contractType
EU Average,541.1946,Tonne,2025/02,2024/2025,Feb,734733.7,Monthly data
Region 1,532.9485,Tonne,2025/02,2024/2025,Feb,165493.22,Monthly data
Region 2,534.6688,Tonne,2025/02,2024/2025,Feb,495005.51,Monthly data
Region 3,603.0928,Tonne,2025/02,2024/2025,Feb,74234.97,Monthly data
EU Average,540.4899,Tonne,2025/01,2024/2025,Jan,18661.87,Short term contracts
EU Average,558.889,Tonne,2025/01,2024/2025,Jan,842508.09,Monthly data
Region 1,493.0877,Tonne,2025/01,2024/2025,Jan,7835.38,Short term contracts
Region 1,553.8018,Tonne,2025/01,2024/2025,Jan,209008.73,Monthly data
Region 2,553.7752,Tonne,2025/01,2024/2025,Jan,556558.73,Monthly data
Region 3,609.6999,Tonne,2025/01,2024/2025,Jan,76940.63,Monthly data
Region 3,582.9171,Tonne,2025/01,2024/2025,Jan,9014.01,Short term contracts
EU Average,541.0949,Tonne,2024/12,2024/2025,Dec,21800.77,Short term contracts
EU Average,580.4718,Tonne,2024/12,2024/2025,Dec,615715.35,Monthly data
Region 1,484.4143,Tonne,2024/12,2024/2025,Dec,6699.92,Short term contracts
Region 1,586.0988,Tonne,2024/12,2024/2025,Dec,142117.32,Monthly data
Region 2,570.2111,Tonne,2024/12,2024/2025,Dec,414016.08,Monthly data
Region 3,573.3491,Tonne,2024/12,2024/2025,Dec,9516.43,Short term contracts
Region 3,638.3485,Tonne,2024/12,2024/2025,Dec,59581.95,Monthly data
EU Average,598.9895,Tonne,2024/11,2024/2025,Nov,814545.38,Monthly data
EU Average,584.4282,Tonne,2024/11,2024/2025,Nov,37349.98,Short term contracts
Region 1,591.0524,Tonne,2024/11,2024/2025,Nov,202879.25,Monthly data
Region 1,491.9248,Tonne,2024/11,2024/2025,Nov,11010.9,Short term contracts
Region 2,595.6056,Tonne,2024/11,2024/2025,Nov,539006.12,Monthly data
Region 2,655.4912,Tonne,2024/11,2024/2025,Nov,13977.06,Short term contracts
Region 3,586.4743,Tonne,2024/11,2024/2025,Nov,12362.02,Short term contracts
Region 3,646.2532,Tonne,2024/11,2024/2025,Nov,72660.01,Monthly data
EU Average,618.8922,Tonne,2024/10,2024/2025,Oct,837562.24,Monthly data
EU Average,541.1378,Tonne,2024/10,2024/2025,Oct,34356.98,Short term contracts
Region 1,615.608,Tonne,2024/10,2024/2025,Oct,204169.34,Monthly data
Region 1,508.53,Tonne,2024/10,2024/2025,Oct,18775.07,Short term contracts
Region 2,608.9453,Tonne,2024/10,2024/2025,Oct,553834.2,Monthly data
Region 3,696.5642,Tonne,2024/10,2024/2025,Oct,79558.7,Monthly data
Region 3,599.6754,Tonne,2024/10,2024/2025,Oct,10577.53,Short term contracts
EU Average,578.6407,Tonne,2024/09,2023/2024,Sep,34313.42,Short term contracts
EU Average,757.6904,Tonne,2024/09,2023/2024,Sep,766867.4,Monthly data
Region 1,512.2054,Tonne,2024/09,2023/2024,Sep,14724,Short term contracts
Region 1,717.8681,Tonne,2024/09,2023/2024,Sep,180374.95,Monthly data
Region 2,762.8861,Tonne,2024/09,2023/2024,Sep,507375.62,Monthly data
Region 3,815.1599,Tonne,2024/09,2023/2024,Sep,79116.83,Monthly data
