"time","EU","EU27_2020","EU28","EA","EA20","EA19","BE","BG","CZ","DK","DE","EE","IE","EL","ES","FR","HR","IT","CY","LV","LT","LU","HU","MT","NL","AT","PL","PT","RO","SI","SK","FI","SE","EEA","IS","NO","CH","UK","ME","MK","AL","RS","TR","XK","US"
2010-01-01,3.8,3.9,3.8,3.8,3.8,3.8,4.6,3.1,6.8,6.3,4.3,5.6,5.9,4.4,3.6,4.5,4.6,2.4,1.3,3.4,5,3.1,6.5,-0.6,3.5,2,2.5,2.5,6.5,2.3,-0.5,3.6,2.5,3.8,5.7,2.9,5.8,3.1,NA,1.1,NA,0.7,8.3,NA,NA
2010-02-01,-0.2,-0.3,-0.2,-0.3,-0.3,-0.3,-1.8,0.8,0.4,-0.7,-1.9,0.9,-0.9,6.4,0,0,-1.5,0.2,0.9,1.6,1.1,-1.1,-0.1,2.7,0.4,-2.3,0.3,-0.2,-0.3,0.8,-3.8,-0.8,0.9,-0.2,1.5,-0.6,-1.8,0.1,NA,0.6,NA,1.2,0.7,NA,NA
2010-03-01,4.2,4.4,4.2,4.7,4.7,4.7,5.9,4.4,2.5,4.4,6.1,2.2,3.2,10.4,4,3.6,3.5,3.1,3.6,2.4,1.5,5.1,3,-0.6,3.6,6.4,1.7,3.8,4.1,2,3.4,5.2,3.1,4.2,4.1,3.2,5,2.9,NA,3.8,NA,1,1.6,NA,NA
2010-04-01,3,2.8,3,3,3,3,4.7,1.4,2.1,2.1,2.6,3.1,4.3,4.6,3.6,2.6,3.4,2.3,5.6,3.1,2.7,4.2,2.7,5.2,1.8,4.9,2.2,3.1,2.1,3.6,3.5,2.4,1.3,3,0.9,1.7,3.1,4.4,NA,4.8,NA,2.7,-0.4,NA,NA
2010-05-01,1,1.2,1,1.1,1.1,1.1,1.9,2.6,1.5,0.5,0.3,0.5,2.8,3,1,1.5,0.1,1.7,0.8,0,1.4,1.5,2.1,1.4,-0.3,1,2.2,0.3,0.7,2.1,2.1,1.3,0.1,1,-0.2,-0.5,1.8,0.3,NA,2.5,NA,3.9,-0.9,NA,NA
2010-06-01,-0.8,-0.6,-0.8,-0.8,-0.8,-0.8,-1.1,-0.4,0.4,-0.1,-0.3,-1.6,-1.5,-0.7,-0.8,-1.1,-0.4,-1.2,1.3,-1,-0.5,-2.4,-0.1,0,-0.2,-0.8,0.3,-0.5,0.5,-0.4,-0.7,-1.3,-0.7,-0.8,-5.9,-0.5,-3.3,-2,NA,-2.4,NA,0,-0.9,NA,NA
2010-07-01,-0.7,-0.7,-0.7,-0.9,-0.9,-0.9,-1.8,0.7,0,-1.6,-2,-1.3,-0.2,0.7,-0.3,-1.1,-0.5,0.2,4.8,0.3,0.2,-0.7,0.7,0.7,-1.5,-1.3,0.2,-0.2,2.7,1.7,0.7,0.1,-2.6,-0.7,-0.9,-0.5,-2.7,-0.7,NA,1,NA,0.8,-0.1,NA,NA
2010-08-01,-0.7,-0.6,-0.7,-0.6,-0.6,-0.6,0.2,1.1,-1.9,-0.3,-0.8,-0.2,-0.2,-0.4,-0.2,-0.7,-0.8,-0.9,-0.9,-1.1,-0.9,-0.3,-0.7,0,-0.5,0,-1.9,-0.4,-1.2,-0.9,-0.6,-0.7,-0.2,-0.7,0.6,-1.4,-0.3,-1,NA,-1.6,NA,0.1,-0.5,NA,NA
2010-09-01,0.2,0.3,0.2,0.3,0.3,0.3,0.3,1.1,-1,1.1,0.9,-1.1,-0.2,-0.1,0.4,0.2,1.2,-0.1,-0.2,0.1,-0.1,-0.3,0.7,-1.1,0.5,0.3,-0.2,-0.2,1.8,-0.7,-0.7,0.1,-0.7,0.1,-1,-0.1,-1,-0.8,NA,0,NA,0,0.8,NA,NA
2010-10-01,0.5,0.3,0.5,0.3,0.4,0.4,0.4,-0.6,-0.2,-0.5,0.1,1.6,-0.5,0,0.3,1.5,1.8,-0.1,0.3,0.6,0,0.3,-0.8,1,0,0.1,0.6,-0.1,0.7,1,0.4,-0.8,0.1,0.5,0.7,0.9,0.8,1.9,NA,1,NA,0,0.5,NA,NA
2010-11-01,1.3,1.3,1.3,1.4,1.3,1.3,1.2,1.6,0.3,1.3,1,1.3,0,1.5,1.9,1.6,0.5,1.3,1.3,1,-0.7,0.3,0.4,2.1,1.1,1.1,0.3,1.2,0.7,0.3,0.9,1.2,1.9,1.3,2.6,1.6,2,1.7,NA,0.2,NA,1.2,1.8,NA,NA
2010-12-01,4.1,4.1,4.1,4.1,4.1,4.1,5.1,3,4.5,3.4,4.4,4.5,7.7,4.7,4.5,3.2,4.3,3,2.6,4,7,5.5,4.3,3.6,4.3,4.1,5.1,4,4,2.5,3.1,6.3,3.1,4.1,4,3.6,1.5,3.9,NA,4.4,NA,0,5.1,NA,NA
2011-01-01,3.2,3.1,3.2,3.2,3.2,3.2,3,2.3,1.9,3.1,2.2,2.9,2.3,2.1,3.2,4.6,1.6,3.9,4.7,5.2,2.9,2.9,3.4,3.9,1.7,4.6,2.5,4.8,2.2,2.5,7,2.8,1,3.2,3.1,0.9,1.9,4.1,NA,4.3,NA,2.2,1.7,NA,NA
2011-02-01,1,1,1,1.2,1.2,1.2,1.4,1.8,0,0.3,0.6,1.4,1.5,1.2,2,1.7,0.8,1.2,1.6,0.5,0.4,1.6,-0.1,0,0.3,1.5,-1.4,1.3,0.1,1.1,1.1,-0.4,0.8,1,1.8,1.2,3.2,1.1,NA,0.2,NA,1.6,0.7,NA,NA
2011-03-01,4,4.2,4,4.4,4.4,4.4,5.5,2,2.4,3.5,5.8,3.1,4.2,4.5,3.9,3.9,3.8,3.5,3.6,4.7,3.2,6.4,3.4,3.5,2.4,5.3,3,4,3.6,1.1,2.4,4.2,3.6,4,6.9,3.5,4.9,2.9,NA,3.7,NA,1,3.1,NA,NA
2011-04-01,1.8,1.8,1.8,1.8,1.8,1.8,2.6,-2.6,1.7,3.3,2.1,-0.3,1.1,2,1.8,1,2.9,1.6,2.2,2.2,2.1,1.7,1.8,2.8,2.9,1.7,2.6,1.8,1.2,1.3,2.3,0.6,2.7,1.8,3.2,1.8,1.7,1.7,NA,-0.4,NA,3.4,1,NA,NA
2011-05-01,-0.8,-1.1,-0.8,-1.3,-1.3,-1.3,-1.3,2.5,0.8,-0.3,-1.8,-1.6,0.3,0,-2.2,-1.9,-1.4,0,0.1,-0.7,-0.9,-1.3,-0.3,0.8,-0.6,-1.2,0.4,-0.7,-0.3,0,0.8,0.2,-0.2,-0.8,-0.1,-0.6,-0.9,0.9,NA,-2,NA,1.5,1.1,NA,NA
2011-06-01,-1,-1.1,-1,-1.1,-1.1,-1.1,-1.1,-1.7,-0.8,-1.2,-1.1,-1.1,-1.6,-1,-0.8,-0.9,-0.7,-1.6,-1.3,0.5,-0.9,-1.4,-1.1,0.3,-2,-1.1,-0.9,-1.9,0.9,-1.7,-1,0,-1.8,-1,-1.1,0.1,-2.7,-0.6,NA,-1.9,NA,0.5,-0.6,NA,NA
2011-07-01,0.4,0.5,0.3,0.5,0.5,0.5,-0.5,2.2,-0.2,0.7,0.8,0.3,-0.9,0.7,1,-0.6,-1,1.5,-0.2,0,0.7,-1.4,-0.9,-0.4,0.8,0.4,-0.2,0.2,1.1,-0.6,-0.9,-0.4,1.7,0.4,1.6,-0.1,-3.2,-0.8,NA,-1.5,NA,1,1.2,NA,NA
