"Date","Energy_AUT","Energy_BEL","Energy_CZE","Energy_DNK","Energy_EST","Energy_FIN","Energy_FRA","Energy_DEU","Energy_GRC","Energy_HUN","Energy_ITA","Energy_LVA","Energy_LTU","Energy_LUX","Energy_NLD","Energy_NOR","Energy_POL","Energy_PRT","Energy_ROU","Energy_SVK","Energy_SVN","Energy_ESP","Energy_SWE","Energy_CHE","Energy_GBR","Energy_BGR","Energy_SRB","Energy_HRV","Energy_MNE","Energy_MKD","Energy_IRL"
"2015-01-01",22.34,36.56,20.6,15.51,24.51,24.51,36.56,22.34,43.37,32.88,47.72,33.02,28.07,22.34,36.56,27.56,20.42,46.59,41.13,20.6,30.84,46.59,24.51,36.52,NA,NA,NA,NA,NA,NA,NA
"2015-01-02",22.34,36.56,12.27,8.18,24.81,25.16,36.56,22.34,60.62,42.22,47.72,25.82,26.26,22.34,36.56,27.9,20.42,54.52,41.13,16.31,45.05,52.57,24.98,41.49,NA,NA,NA,NA,NA,NA,NA
"2015-01-03",22.34,36.56,18.29,15.77,24.73,24.73,36.56,22.34,62.76,39.21,47.72,28.72,28.06,22.34,36.56,27.61,20.42,53.32,40.95,18.65,43.46,53.26,24.48,36.46,NA,NA,NA,NA,NA,NA,NA
"2015-01-04",22.34,36.56,13.42,22.07,29.4,28.65,36.56,22.34,52.03,40.08,47.72,29.4,29.39,22.34,36.56,28.26,24.26,46.84,40.95,13.42,38.08,46.43,28.31,31.78,NA,NA,NA,NA,NA,NA,NA
"2015-01-05",36.18,45.2,39.03,38.23,41.29,41.29,44.8,36.18,59.9,45.29,53.51,42,42,36.18,41.73,33.89,34.68,59.86,40.28,39.03,43.05,59.86,37.45,47.62,NA,NA,NA,NA,NA,NA,NA
"2015-01-06",33.67,44.93,36.37,29.51,32.3,32.3,44.93,33.67,58.11,43.2,50.44,38.53,38.53,33.67,42.19,29.16,32.25,53.58,40.93,36.37,41.55,53.21,29.69,45.34,NA,NA,NA,NA,NA,NA,NA
"2015-01-07",38.59,45.53,38.62,30.33,32.93,32.93,45.53,38.59,66.25,48.29,59.96,38.49,38.49,38.59,42.49,29.65,35.86,64.76,45.97,41.46,48.9,64.76,31.79,47.82,NA,NA,NA,NA,NA,NA,NA
"2015-01-08",28.05,43.23,27.38,26.06,29.87,29.87,42.52,28.05,79.68,58.75,60.53,40.32,40.32,28.05,42.4,27.66,33.87,65.76,58.75,40.4,54.06,65.52,28.49,46.15,NA,NA,NA,NA,NA,NA,NA
"2015-01-09",24.48,36.68,22.09,25.65,33.31,33.31,33.02,24.48,74.58,43.74,56.13,39.51,39.51,24.48,36.68,27.5,32.9,63.26,42.51,34.43,48.37,63.12,28.53,45.05,NA,NA,NA,NA,NA,NA,NA
"2015-01-10",12.15,35.91,9.32,19.54,28.87,28.57,18.13,12.15,63.86,44.63,47.09,38.78,38.78,12.15,36.29,26.44,31.14,57.26,37.18,12.97,38.5,56.71,27.69,38.82,NA,NA,NA,NA,NA,NA,NA
"2015-01-11",1.49,30.43,4.6,13.45,27.4,27.4,26.04,1.49,62.81,32.6,39.47,39.27,39.27,1.49,30.73,26.19,27.9,46.77,30.49,4.6,33.69,46.71,26.71,30.58,NA,NA,NA,NA,NA,NA,NA
"2015-01-12",22.56,38.07,24.2,17.8,50.22,50.22,36.5,22.56,61.87,40.32,50.12,51.57,51.57,22.56,37.93,28.23,36.3,58.33,40.22,24.2,44.2,58.08,29.52,40.72,NA,NA,NA,NA,NA,NA,NA
"2015-01-13",24.97,41.01,27.77,26.62,48.24,48.24,36.82,24.97,55.75,47.52,54.91,51.09,51.09,24.97,40.93,28.41,33.41,57.25,45.99,27.77,46.56,56.96,33.05,43.99,NA,NA,NA,NA,NA,NA,NA
"2015-01-14",27.68,39.99,30.47,25.56,34.08,34.08,38.92,27.68,61.65,48.96,51.19,50.78,50.78,27.68,39.7,28.86,34.99,61.12,47.87,31.85,47.31,61.12,29.89,45.2,NA,NA,NA,NA,NA,NA,NA
"2015-01-15",24.76,42.67,25.3,23.42,35.42,35.43,37.08,24.76,64.76,45.86,53.07,40.71,40.71,24.76,42.67,27.5,38.19,47.53,45.51,27.85,49.48,47.53,29.08,43.67,NA,NA,NA,NA,NA,NA,NA
"2015-01-16",33.89,42.28,35.24,23.42,33.3,33.34,42.14,33.89,65.9,43.57,51.89,40,40,33.89,42.28,27.59,35.37,52.66,43.52,35.47,47.22,52.66,28.74,45.83,NA,NA,NA,NA,NA,NA,NA
"2015-01-17",31.26,37.05,30.82,27.81,28.5,28.5,36.97,31.26,61.48,33.68,46.89,38.91,38.91,31.26,36.62,27.71,36.08,46.6,32.82,30.82,34.57,46.6,28.47,42.73,NA,NA,NA,NA,NA,NA,NA
"2015-01-18",27.18,38.28,27.36,27.67,28.25,28.25,36.88,27.18,60.73,31.75,47.58,32.3,32.3,27.18,38.05,28.24,32.91,42.89,31.76,27.36,28.59,42.89,28.25,38.37,NA,NA,NA,NA,NA,NA,NA
"2015-01-19",42.75,46.44,42.85,34.4,38.89,38.42,46.44,42.75,59.87,48.74,52.65,40.48,40.48,42.75,43.65,32.3,37.71,52.52,47.76,42.85,47.33,52.52,32.81,49.61,NA,NA,NA,NA,NA,NA,NA
"2015-01-20",47,49.81,44.77,40.45,36.59,36.59,49.81,47,63.49,45.9,54.03,40.45,40.45,47,47.63,30.99,40.76,61.13,45.61,44.96,49.31,61.13,34.9,49.82,NA,NA,NA,NA,NA,NA,NA
"2015-01-21",44.93,50.08,44.46,41.53,40.69,40.69,50.08,44.93,59.98,45.27,53.39,42.81,42.81,44.93,45.23,32.49,43.18,51.28,45,44.46,45.14,51.28,40.22,50.92,NA,NA,NA,NA,NA,NA,NA
"2015-01-22",43.88,51.44,44.39,41.99,41.64,41.64,51.44,43.88,65.12,44.6,52.77,44.16,44.19,43.88,44.38,33.91,39.02,50.83,41.33,44.39,45.28,50.83,41.27,52.06,NA,NA,NA,NA,NA,NA,NA
"2015-01-23",42.26,48.49,42.91,39.91,40.45,40.45,48.49,42.26,58.68,43.92,52.84,43.69,43.69,42.26,43.6,38.62,36.73,53.83,28.9,42.91,44.57,53.63,39.49,49.28,NA,NA,NA,NA,NA,NA,NA
"2015-01-24",29.56,42.41,30.49,27.92,28.95,28.95,42.41,29.56,55.76,31.89,47.68,37.24,37.24,29.56,39.82,28.34,34.78,46.77,25.82,30.49,33.62,46.77,28.52,43.09,NA,NA,NA,NA,NA,NA,NA
"2015-01-25",28.43,40.45,26.55,28.57,28.79,28.79,40.09,28.43,52.27,30.25,42.27,39.23,39.23,28.43,40.16,28.6,30.85,40.74,30.27,26.55,31.75,40.74,28.83,38.38,NA,NA,NA,NA,NA,NA,NA
