"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","country"
"beta",0.488367677159443,0.143801934279787,0.203392071884814,0.236941699095923,0.314370890183635,0.506488015430846,0.680466821743459,0.703549296257149,2.00050013551093,18258.4707732375,"AT"
"kappa",0.0184604837729427,0.0070527028929156,0.00997527523626127,0.00256666877356825,0.0151103775680646,0.020666025085036,0.0240128007827687,0.0299496101274453,2.00050019176761,8842.28630489435,"AT"
"beta1",0.473122684600781,0.0802515515636532,0.113507023764034,0.361679314349145,0.367843574762651,0.449137844012478,0.554436137097036,0.63251734602933,2.0005001911798,6492.27004947031,"BE"
"kappa1",0.014493454928113,0.00565624603764698,0.00800014078126543,0.00338225943711034,0.00941171649803083,0.0148225805824325,0.0198957330036119,0.0249561056114072,2.00050054648165,3036.44097012573,"BE"
"beta2",0.514546369457622,0.0495181864491125,0.0700380490872961,0.398791016044561,0.489080529274278,0.542665695082733,0.568084769230736,0.574106436935698,2.00050029205829,5112.01828307274,"CZ"
"kappa2",0.00401240049839822,0.00266789463700541,0.00377344462818758,2.14034933782993e-10,0.000627463903457974,0.00343537914607335,0.00682154935548538,0.00917831708355457,2.00050027295145,4198.11296390016,"CZ"
"beta3",0.656496653241537,0.138320355276885,0.195638978868163,0.447573063887191,0.495584179890473,0.615659018469047,0.776574947990503,0.94708219160501,2.00050012671558,55764.9243061607,"DK"
"kappa3",0.0105239176521539,0.00652064959645053,0.0092227440228365,0.000656167754412433,0.00379273560935701,0.00822375937128751,0.0149544648815163,0.0249930394210003,2.00050013066682,22412.4794728539,"DK"
"beta4",0.50695966028745,0.212799267691947,0.30098123560805,0.0971123752666623,0.279227054528164,0.564671367967476,0.79238745121308,0.801396589911585,2.00050012727643,33715.0449830261,"FR"
"kappa4",0.00865698943029491,0.00797649114323493,0.0112818723394211,8.15384012803205e-05,0.00146333647999514,0.00327558220652863,0.010468208358139,0.0279975938195105,2.00050014713386,11685.8274667974,"FR"
"beta5",0.472379549916397,0.057499689993677,0.0813270125190326,0.348629984829686,0.442339497191475,0.482234665102535,0.512310724949002,0.576361245619929,2.00050035066035,5472.101992485,"DE"
"kappa5",0.00342827880953854,0.00353132878377951,0.00499467743731236,3.42273352220184e-05,0.000232476979931359,0.000821066805652607,0.00401634650019174,0.0120377438797627,2.00050012854626,28609.6509133995,"DE"
"beta6",0.605930060877401,0.125318782252273,0.177249679093364,0.422800949158001,0.489648272940056,0.553306824250079,0.669587745126888,0.894304178386921,2.00050012542174,84559.069847761,"HU"
"kappa6",0.0296236881609096,0.0140398481111726,0.0198578260246413,5.37262943871281e-05,0.0187037324819617,0.0324231052837941,0.0433439084808904,0.053594547459197,2.0005001308248,25711.3780107737,"HU"
"beta7",0.449860682683276,0.123594842581818,0.174811358253271,0.21918673526628,0.316001074720794,0.461087198475034,0.595075042735271,0.657908362647494,2.00050019024667,9252.46367344145,"IT"
"kappa7",0.00726111072093232,0.00517388814970054,0.00731790078349116,4.65801808460993e-06,0.000241637043534197,0.00608484684351263,0.0131010256980114,0.0168828737294372,2.00050187329681,1997.06145742688,"IT"
"beta8",0.561208323348581,0.10001734504104,0.141463570712996,0.399406213625205,0.431521211741105,0.565607964498205,0.695223671160618,0.714259741292571,2.0005001485584,11148.9434618994,"NL"
"kappa8",0.021785690209304,0.00667978129905265,0.00944782240326773,0.00568155643949187,0.0200889880468594,0.0259113703058947,0.0276424840178347,0.0296228560913742,2.00050183817118,2250.49819332767,"NL"
"beta9",0.543327994033255,0.10694776527161,0.151265890292165,0.293798926428196,0.495580700824132,0.593169617798152,0.640966990409277,0.693132535663114,2.00050014517185,16461.9292700902,"PL"
"kappa9",0.0466701237176503,0.02133095965135,0.0301703040853393,0.00475937326572257,0.0258409714299701,0.0494816126114752,0.0703090866756649,0.0829589021148403,2.00050014150677,14738.9378195011,"PL"
"beta10",0.51288948316567,0.0555658199028088,0.0785917607234563,0.423523795697343,0.4438591790793,0.506679215068687,0.575710163997323,0.614675091292128,2.0005001264751,48622.3734876723,"SK"
"kappa10",0.0450434791354458,0.0240131273704521,0.0339639361801489,0.0137738743407884,0.0268873134786045,0.0319823849809665,0.0501383901510682,0.102436101788788,2.00050012744225,41725.6350680323,"SK"
"beta11",0.444873445151172,0.0619842774894978,0.0876699705152023,0.338566984390938,0.372508107624131,0.441546577353808,0.513956410410757,0.557797401600754,2.00050036257158,4211.18189919904,"ES"
"kappa11",0.0126764748238584,0.00564751275932428,0.0079877884595551,0.00321331419917565,0.00838054304452567,0.0111095224370976,0.0153993099967798,0.0252781247947692,2.00050051861634,2871.89610647507,"ES"
"beta12",0.577225566641665,0.0797721990378938,0.112829030932314,0.456583642084681,0.487174826144215,0.552225872888496,0.642288967719982,0.747832679502071,2.00050014780505,10264.0938906034,"SE"
"kappa12",0.00965128796412344,0.00446274224994875,0.00631205981442731,0.000245665964298251,0.0057798395805415,0.0110670842270207,0.0149389481138103,0.0162286131498431,2.0005002152914,8444.95761695642,"SE"
