"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","country"
"beta",0.506806255419997,0.00225500934184532,0.157663433697507,0.194205703729368,0.399184455520434,0.506691027402741,0.616282658610981,0.815638346841622,4888.38351214489,0.999707431018646,"AT"
"kappa",0.0341749972061176,0.000290496973573296,0.0156284130035219,0.00523635647184308,0.0231470166385015,0.0336797538660464,0.0449259659622948,0.0651578247570239,2894.31992701665,1.00153391802687,"AT"
"sigma",0.670999483537394,0.000752414787119381,0.0462858578504204,0.586610661327232,0.638370067554006,0.668741429942889,0.70030331920694,0.768730690802162,3784.26891446406,1.00002924278737,"AT"
"beta1",0.509097386318617,0.00247339807541793,0.16142020641487,0.195360029116241,0.396089336488706,0.507673377005603,0.623497321202837,0.817539333140165,4259.19731095934,0.999730745897642,"BE"
"kappa1",0.0482198622947111,0.000325257825874964,0.0189305325584165,0.012241382198034,0.0349985101411337,0.0479330978577601,0.0611839552846692,0.0858098480100698,3387.42863318744,1.00027236778879,"BE"
"sigma1",1.39149171430491,0.0014507754640761,0.0952794957148406,1.2220044180578,1.32454261993739,1.38443056073283,1.45241057380936,1.59316884616512,4313.18906670878,1.00022056147485,"BE"
"beta2",0.987551977538736,0.000137353427537942,0.00924064358237276,0.964393767524841,0.982804295789168,0.989597873440846,0.994582553289833,0.998971400199527,4526.11345813445,1.00007684672452,"BG"
"kappa2",0.0518343526262391,0.000332812593341213,0.0185318305386643,0.0164910417631999,0.0387854168249376,0.0519275792832428,0.064724116176253,0.0886297342160851,3100.53856763835,1.00098288833545,"BG"
"sigma2",1.05934886340888,0.00118671182163804,0.0714853413868834,0.929645981124593,1.01007675708124,1.05570589877244,1.10399838920283,1.21111557687053,3628.63640760476,1.00040041836474,"BG"
"beta3",0.509229136785144,0.00144647363101606,0.082749970803465,0.350839873795276,0.454382252412587,0.507704119534175,0.562923255374594,0.674744429180975,3272.76375303634,1.00090885648884,"HR"
"kappa3",0.0260735429105312,0.000240588251763181,0.0135560527234727,0.00315845312444304,0.0159506752415831,0.0250696184807792,0.0353075147960468,0.053984494309508,3174.80946082957,0.999707962036548,"HR"
"sigma3",0.608874337047375,0.000689883129098834,0.0417278490075561,0.533990098602622,0.579697109755209,0.606853316210106,0.635274791979654,0.696113248168587,3658.48220874257,1.00006475066832,"HR"
"beta4",0.498383517742863,0.0022433847731984,0.148836475573192,0.210377518731441,0.395602565826347,0.500471744585553,0.601502989694581,0.78720678509417,4401.60654945668,1.00040678531763,"CY"
"kappa4",0.046103468375799,0.000296731428915577,0.0183621624942588,0.011916425341559,0.0331701897232331,0.0459078596791786,0.058549212107386,0.0829021522144304,3829.31027232099,1.00044967633162,"CY"
"sigma4",1.83262958585651,0.00190409031641056,0.125994855697861,1.60500453776958,1.74501578702147,1.82698829885381,1.91008821339783,2.106695041747,4378.55226653971,1.00058793966543,"CY"
"beta5",0.492730183360061,0.00152081194980081,0.0999267905940405,0.301470879888515,0.424733692527428,0.491353911635852,0.558472703830067,0.692989484028478,4317.30614056882,1.00038664589629,"CZ"
"kappa5",0.0477650418509926,0.000369607911155281,0.0193025481816563,0.010587130331949,0.0342881804984405,0.0475881249085277,0.0610397032171459,0.0864810390252754,2727.38704719449,1.00098288690681,"CZ"
"sigma5",1.34436000446882,0.00133394581404977,0.0886723472489196,1.18492943519494,1.28295776504232,1.33845338030623,1.40107555106569,1.53182096546239,4418.75611944935,0.999921768336516,"CZ"
"beta6",0.487885852667964,0.00149315085561353,0.0956631092265315,0.29916047936172,0.423664418289079,0.486347040554323,0.553545995117904,0.673615072217626,4104.7017766781,1.00066826549784,"DK"
"kappa6",0.04391091302564,0.000346676881611961,0.016618199186762,0.0108488968861031,0.0324098965238658,0.0437585354524985,0.0557233359392938,0.0762658505480738,2297.83138782857,1.00147996916951,"DK"
"sigma6",0.496510233412713,0.000461058675091999,0.0337946193929409,0.433952808724936,0.473418610986688,0.494444610850319,0.517384905809085,0.570985035120635,5372.57792576009,1.00020270001563,"DK"
"beta7",0.506520511542494,0.00116948852036386,0.0664671612568884,0.376990364736366,0.462511206369012,0.505949662604073,0.55092679287585,0.640298251075621,3230.14736084616,1.00094757680277,"EE"
"kappa7",0.030495624236181,0.00025090435797617,0.0144873682036576,0.00491703548649298,0.0199667017246513,0.0297667270901786,0.0404312659385118,0.0606599782523656,3333.97690285762,0.999933778240003,"EE"
"sigma7",0.764077555288592,0.000810000237349661,0.0503760118016455,0.672732864776838,0.727709046559898,0.762202421157109,0.797098228499882,0.870109119448943,3867.91811888408,1.00083183687909,"EE"
"beta8",0.497780236012673,0.00142433293077136,0.0930805212179194,0.312828534009334,0.435287245601434,0.497876358802046,0.559710842428957,0.680094528089052,4270.65591914515,1.00062375236447,"FI"
"kappa8",0.0333570976905937,0.000286035395363581,0.0154683303190196,0.00486513498524815,0.0221958305727531,0.0329445626402267,0.044020761425681,0.0643114753822869,2924.47100007131,1.00101203654095,"FI"
"sigma8",0.519573423521175,0.000550598471232825,0.0353023846793061,0.454696626919951,0.495396628979543,0.51791225684395,0.542249674050702,0.592796959417642,4110.91108569131,1.00106379710145,"FI"
"beta9",0.534143643060388,0.00227069339969997,0.145067817933074,0.250099502080333,0.436554744281502,0.532480470790906,0.631764130251725,0.824822943719935,4081.55038433797,0.999495320823286,"FR"
"kappa9",0.0320806742233709,0.000312195050425263,0.0150900389705295,0.00419136255588974,0.0215591568421514,0.0312990339859414,0.042375547319038,0.0627824246425874,2336.30046736222,1.00141128914013,"FR"
"sigma9",0.510062951502092,0.000544191119481641,0.0347643769531412,0.447397029192878,0.485393234612246,0.507985496514679,0.532609286383672,0.581899488842625,4080.99441120836,0.99991279566619,"FR"
"beta10",0.500528934878758,0.00127690312358473,0.0670119879724655,0.369441248290767,0.456006233393392,0.500321140816059,0.544474359119437,0.63270746437497,2754.15961012357,1.00011252077611,"DE"
