,mean,se_mean,sd,2.50%,25%,50%,75%,97.50%,n_eff,Rhat,country,,,mean,se_mean,sd,2.50%,25%,50%,75%,97.50%,n_eff,Rhat,country,,,mean,se_mean,sd,2.50%,25%,50%,75%,97.50%
beta,0.56,0.13,0.18,0.29,0.44,0.59,0.71,0.77,2.00,"1,666.42",AT,,beta,0.56,0.13,0.18,0.29,0.44,0.59,0.71,0.77,2.00,"2,788.28",AT,,beta,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
kappa,0.03,0.01,0.02,0.00,0.02,0.03,0.04,0.04,2.00,513.88,AT,,kappa,0.03,0.01,0.02,0.00,0.02,0.03,0.04,0.04,2.00,"3,048.86",AT,,kappa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
sigma,2.73,1.57,2.22,0.36,1.01,2.22,3.94,6.15,2.00,"1,038.66",AT,,sigma,2.73,1.57,2.22,0.35,1.01,2.21,3.93,6.13,2.00,"3,966.74",AT,,sigma,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.02
beta1,0.60,0.08,0.11,0.42,0.56,0.62,0.65,0.73,2.00,"1,242.50",BE,,beta1,0.60,0.08,0.11,0.42,0.56,0.62,0.65,0.73,2.00,"1,051.12",BE,,beta1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
kappa1,0.06,0.02,0.03,0.00,0.05,0.07,0.08,0.09,2.00,"1,078.39",BE,,kappa1,0.06,0.02,0.03,0.00,0.05,0.07,0.08,0.09,2.00,980.21,BE,,kappa1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
sigma1,2.73,1.56,2.21,0.35,1.01,2.22,3.94,6.12,2.00,559.82,BE,,sigma1,2.74,1.57,2.23,0.35,1.01,2.21,3.95,6.16,2.00,556.39,BE,,sigma1,-0.01,-0.01,-0.02,0.00,0.00,0.01,-0.01,-0.04
beta2,0.52,0.05,0.07,0.44,0.45,0.51,0.57,0.62,2.00,"47,874.27",CZ,,beta2,0.52,0.05,0.07,0.44,0.45,0.51,0.57,0.62,2.00,"5,625.00",CZ,,beta2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
kappa2,0.03,0.03,0.04,0.00,0.00,0.02,0.05,0.10,2.00,"100,095.50",CZ,,kappa2,0.03,0.03,0.04,0.00,0.00,0.02,0.05,0.10,2.00,"9,662.10",CZ,,kappa2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
sigma2,2.73,1.57,2.22,0.36,1.01,2.22,3.94,6.14,2.00,"28,987.73",CZ,,sigma2,2.73,1.57,2.22,0.36,1.01,2.22,3.94,6.14,2.00,"23,117.14",CZ,,sigma2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
beta3,0.51,0.16,0.23,0.16,0.36,0.56,0.71,0.74,2.00,"1,451.38",DK,,beta3,0.51,0.16,0.23,0.16,0.36,0.56,0.71,0.74,2.00,"7,444.32",DK,,beta3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
kappa3,0.04,0.03,0.04,0.00,0.00,0.03,0.07,0.09,2.00,"1,330.26",DK,,kappa3,0.04,0.03,0.04,0.00,0.00,0.03,0.07,0.09,2.00,"3,535.22",DK,,kappa3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
sigma3,2.73,1.57,2.21,0.36,1.01,2.22,3.95,6.13,2.00,"1,133.46",DK,,sigma3,2.73,1.57,2.22,0.36,1.01,2.22,3.94,6.13,2.00,"4,323.73",DK,,sigma3,0.00,0.00,0.00,0.00,0.00,0.00,0.01,-0.01
beta4,0.64,0.11,0.15,0.40,0.58,0.69,0.76,0.79,2.00,"1,352.00",FR,,beta4,0.64,0.11,0.15,0.40,0.58,0.69,0.76,0.79,2.00,"1,374.29",FR,,beta4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
kappa4,0.03,0.01,0.02,0.00,0.02,0.03,0.05,0.05,2.00,884.41,FR,,kappa4,0.03,0.01,0.02,0.00,0.02,0.03,0.05,0.05,2.00,870.00,FR,,kappa4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
sigma4,2.73,1.57,2.21,0.35,1.01,2.21,3.93,6.12,2.00,"2,811.18",FR,,sigma4,2.73,1.57,2.22,0.35,1.01,2.21,3.93,6.15,2.00,"1,809.66",FR,,sigma4,-0.01,-0.01,-0.01,0.00,0.00,0.00,0.00,-0.03
beta5,0.54,0.05,0.06,0.43,0.53,0.57,0.58,0.60,2.00,553.66,DE,,beta5,0.54,0.05,0.06,0.43,0.53,0.57,0.58,0.60,2.00,690.71,DE,,beta5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
kappa5,0.03,0.01,0.02,0.00,0.03,0.04,0.05,0.06,2.00,747.80,DE,,kappa5,0.03,0.01,0.02,0.00,0.03,0.04,0.05,0.06,2.00,599.09,DE,,kappa5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
sigma5,2.74,1.58,2.23,0.36,1.00,2.22,3.96,6.16,2.00,467.90,DE,,sigma5,2.73,1.57,2.22,0.36,1.01,2.21,3.93,6.15,2.00,"1,180.77",DE,,sigma5,0.01,0.00,0.01,0.00,0.00,0.01,0.02,0.02
beta6,0.53,0.04,0.06,0.44,0.51,0.55,0.57,0.60,2.00,"2,990.60",HU,,beta6,0.53,0.04,0.06,0.44,0.51,0.55,0.57,0.60,2.00,"1,192.61",HU,,beta6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
kappa6,0.05,0.02,0.03,0.00,0.04,0.06,0.08,0.08,2.00,"30,024.08",HU,,kappa6,0.05,0.02,0.03,0.00,0.04,0.06,0.08,0.08,2.00,"2,009.41",HU,,kappa6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
sigma6,2.73,1.57,2.22,0.36,1.01,2.21,3.93,6.14,2.00,"3,826.82",HU,,sigma6,2.73,1.57,2.21,0.36,1.01,2.22,3.93,6.12,2.00,"5,307.06",HU,,sigma6,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.02
beta7,0.63,0.08,0.12,0.45,0.57,0.66,0.72,0.74,2.00,"1,670.12",IT,,beta7,0.63,0.08,0.12,0.45,0.57,0.66,0.72,0.74,2.00,"1,084.01",IT,,beta7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
kappa7,0.02,0.01,0.02,0.00,0.00,0.02,0.04,0.04,2.00,"1,198.14",IT,,kappa7,0.02,0.01,0.02,0.00,0.00,0.02,0.04,0.04,2.00,"1,059.81",IT,,kappa7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
sigma7,2.73,1.56,2.21,0.36,1.01,2.22,3.94,6.11,2.00,"2,127.02",IT,,sigma7,2.73,1.57,2.21,0.36,1.01,2.21,3.93,6.13,2.00,685.00,IT,,sigma7,0.00,0.00,0.00,0.00,0.00,0.01,0.00,-0.02
beta8,0.57,0.13,0.18,0.40,0.41,0.51,0.66,0.85,2.00,"3,004.86",NL,,beta8,0.57,0.13,0.18,0.40,0.41,0.51,0.66,0.85,2.00,"2,051.48",NL,,beta8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
