"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","country"
"beta",0.559510888660498,0.129798563642031,0.183593530268393,0.293316086636474,0.441043331297241,0.589317921806842,0.708299806648713,0.765686041483058,2.00066775472593,2788.276802035,"AT"
"kappa",0.0270303374792355,0.011445805399078,0.0161895129573796,0.00187117657873722,0.018705035789758,0.0310757966680262,0.0393925787873887,0.0441137085004576,2.00066719861916,3048.85808813883,"AT"
"beta1",0.595193516334809,0.0796451314923834,0.112654100931626,0.417214729162129,0.561858459237742,0.616756093058896,0.650098255876141,0.729843756805256,2.00067038991477,1051.11519394924,"BE"
"kappa1",0.0576356163686947,0.0241742943370127,0.0341933664803154,0.000411069235006771,0.0474646074753538,0.0711735549593552,0.081443242085313,0.0877563200541337,2.00067299832836,980.214125006101,"BE"
"beta2",0.519178856188006,0.0511633844528104,0.0723680166271033,0.442664537843274,0.453484935876749,0.50844012291932,0.574169744211385,0.617092141459074,2.00066700485369,5625.00087834455,"CZ"
"kappa2",0.0331325563837093,0.0293089101590791,0.0414559685503593,0.000163016783427622,0.000301900216411298,0.0153255249452161,0.0481569602636304,0.101733185689128,2.00066692767882,9662.10433876996,"CZ"
"beta3",0.507380584567193,0.163702956268316,0.231549541387662,0.161672170063643,0.364826081141706,0.564355197087333,0.707093464214014,0.738928979162418,2.00066698619524,7444.32063906339,"DK"
"kappa3",0.0392560642988928,0.0281313335426927,0.0397903540365682,0.000981118876482231,0.00116991290822727,0.0312983305245918,0.0694788035823431,0.0933867023489249,2.0006677272178,3535.2183987245,"DK"
"beta4",0.643185861547883,0.107206639345267,0.151638436747927,0.396693305661424,0.581190345422672,0.693850102567722,0.755942703002181,0.788199420165425,2.00066895359438,1374.28546265766,"FR"
"kappa4",0.0289741134099699,0.0132990745938407,0.0188108963256624,0.000283853686573178,0.0180053804816591,0.0348355246661667,0.0457386374174328,0.0460286241392363,2.00067311345128,869.996888603206,"FR"
"beta5",0.543607921390264,0.0456597061222842,0.0645834482009168,0.4338502626116,0.530443665815386,0.570752933568402,0.583691635192192,0.599141152190797,2.0006735654601,690.710530565879,"DE"
"kappa5",0.0344391884104446,0.0146124018698928,0.0206685967282262,0.00164240265264704,0.027599767922316,0.038774827206589,0.0454194121689952,0.0587094044799017,2.00068523946911,599.090164764967,"DE"
"beta6",0.471394263951665,0.0460488057968029,0.0651337036517552,0.364381671246621,0.446279446824816,0.497233539491105,0.522350078206891,0.526771775985529,2.00066697748806,6842.09966247114,"HU"
"kappa6",0.0736708446573028,0.0231034334948145,0.0326786373147547,0.0412428574675375,0.0515706867665541,0.063122587795466,0.0852257072630151,0.127205057490527,2.00066706476264,5836.44672049168,"HU"
"beta7",0.628386296506474,0.0817555925106047,0.115639307495814,0.448523417639565,0.566491182263525,0.661893479040618,0.724087365513318,0.7410562871062,2.00067259726567,1084.00725478858,"IT"
"kappa7",0.0194699311494346,0.0126113392285651,0.0178381183683986,0.000195813196251882,0.00264548684292779,0.0185949019734646,0.0354206516624688,0.0405566044640175,2.00067095514218,1059.80635911795,"IT"
"beta8",0.567175310493086,0.127419886300415,0.180229027879201,0.397716671521102,0.414233745541007,0.511954632465767,0.664861768567581,0.846993180453133,2.00066812983265,2051.47801796764,"NL"
"kappa8",0.0420496477919298,0.0110113056612598,0.015575018240113,0.0176537200134322,0.0352835524284929,0.045206569032204,0.0520259468407115,0.0601219852398078,2.00068857104077,449.958964758571,"NL"
"beta9",0.558269832280415,0.0779661734040939,0.110279284625645,0.437192179553385,0.461490369680877,0.543307997213841,0.640250788682294,0.709082368244976,2.00066991474834,1372.26950570023,"PL"
"kappa9",0.0502341989713661,0.0131292052047267,0.0185706441936387,0.0213801444701591,0.0403170480328837,0.0554015421775199,0.0652837732361778,0.0688157597431322,2.00067739784675,488.053231483452,"PL"
"beta10",0.52478770818546,0.0837638839980155,0.11847976968548,0.328431198817791,0.501317951752007,0.562188776685475,0.585677188397161,0.646316956087182,2.00066691005162,13246.311997554,"SK"
"kappa10",0.0299469394874749,0.0267321512130037,0.0378112739471373,6.73128645527938e-05,0.000263962340813811,0.0135074088157281,0.0431961744480842,0.0927142726607896,2.00066696792748,6415.43072617064,"SK"
"beta11",0.588962819606146,0.0819640088206129,0.115934011178907,0.410887166763632,0.538961374990932,0.60694273726816,0.656689008441111,0.731352999258947,2.00066945490275,1228.64993885859,"ES"
"kappa11",0.0195844617135016,0.00583715960594208,0.00825640565431728,0.0109931277013549,0.0122341787876683,0.0180102809079924,0.0254490552083656,0.0312628376056361,2.00068588582044,569.473354633732,"ES"
"beta12",0.517426891546209,0.0847684298576982,0.119900676939984,0.337960584085789,0.473418807090985,0.528282314469442,0.572174951540908,0.675289697713215,2.00066784564752,1773.56501905483,"SE"
"kappa12",0.0386515579473292,0.0174977727714239,0.0247497341809995,0.000158425680503678,0.0295139905766393,0.0428370799269182,0.0518521178790842,0.0688491697301068,2.00067033587178,1054.35016392599,"SE"
