"Country","gamma_f","gamma_b","kappa","miu","gamma_f_std","gamma_b_std","kappa_std","miu_std","J_stat","df_j","p_val"
"SE",-0.656178637156527,-0.203498874875274,-0.038254499135339,"-0.095377453973347","0.079130549168982","0.0544255085939596","0.0437966575183772","0.0527223208569616","24.646233955048","8","0.00178420282313851"
"ES",-0.499274700962966,-0.451963488261819,0.494576477438853,"-0.486906254397576","0.0582546846468351","0.0538654603471961","0.0764855404306047","0.212665087349678","38.8974149347807","8","5.13553337455619e-06"
"SK",-0.504770061749276,-0.0788674764229921,-0.531746617759829,"0.963117549446072","0.0916118590316023","0.0461096923146433","0.235103885047798","0.130048273166365","11.687010429416","8","0.165724493047446"
"PL",0.0905708150479337,0.277997548714453,-0.42477226394175,"0.219019697281066","0.133582118140935","0.121146224698937","0.217393665004014","0.149161446232054","12.8867567791182","8","0.115805805410221"
"NL",0.154416012971306,0.0360969158798492,-0.0448001312519306,"0.148828709170456","0.115921672180803","0.0629238998552103","0.0367214554980431","0.0392593647406978","46.8951585736942","8","1.60559356143786e-07"
"IT",-0.701830468277607,-0.278676707597493,0.231222532720808,"-0.539639120368201","0.112320875077231","0.106478335689901","0.0668556899013475","0.184087979392839","18.336684809752","8","0.0188392020289048"
"HU",0.749146241922456,0.225408719662194,-0.0849139350371243,"0.0892763173090365","0.0870765422308122","0.0217713835659854","0.041298430434358","0.0623417144279906","15.3938588201967","8","0.0519246470322857"
"DE",0.291082905962192,0.112469420987056,0.0424740105384131,"0.0464014724266755","0.0920453734008881","0.074111475141369","0.0260641551144191","0.0195278847202649","62.0617036104103","8","1.83366877237745e-10"
"FR",-0.518592932641683,-0.35251771058542,0.0525846889426836,"-0.158406182011614","0.0445254099374701","0.0274214258514715","0.0271194730557617","0.0525592120917628","13.6011137611921","8","0.0927731866379048"
"DK",0.886896154283288,0.142494860818692,0.0101041644493382,"0.0042016268370464","0.04898171712145","0.0224520028222996","0.010941200090543","0.00555467201401239","30.1264716623823","8","0.000200768247828997"
"CZ",-0.572525089246215,-0.0592247749179364,0.0708697816422539,"0.895106380449912","0.036386930455317","0.0453402116655425","0.0793259742197598","0.080736351359297","20.233415925083","8","0.00948812768880836"
"BE",-0.742130322186717,-0.214220272906748,0.35401633317685,"-0.977364118511985","0.0592223929286354","0.0510291068681377","0.102654336196936","0.0910548457550306","15.387746509759","8","0.0520302430887679"
"AT",-0.970708768252875,-0.0433354957403286,0.163005734020395,"0.015898938118562","0.10942746410125","0.103097241322283","0.0289413448058415","0.0613076634763983","22.0821174219743","8","0.00476599483723517"
