"Country","gamma_f","kappa","gamma_b"
"SE",1,1.23243927612529e-24,0
"ES",1,9.71510104911184e-21,0
"SI",0.999999373893624,0.0155000356029884,6.26106375745117e-07
"SK",0.999999785938002,0.0327233287405293,2.1406199834928e-07
"RO",0.982275081219195,3.47429149824896e-07,0.0177249187808052
"PT",1,9.71510104911184e-21,0
"PL",0.684246086012791,2.79960509149653e-07,0.315753913987209
"NL",0.901228115643489,7.52746553145369e-07,0.0987718843565112
"MT",0.906667222176387,1.72374600826865e-06,0.0933327778236133
"LU",0.999998100002962,0.0358802391165776,1.89999703825716e-06
"LT",0.99999784900549,0.0135430954521084,2.15099450973089e-06
"LV",0.687915975231361,0.00597963595974839,0.312084024768639
"IT",1,9.71510104911184e-21,0
"IE",1,1.40159648111725e-97,2.22044604925031e-16
"HU",0.638925818001085,0.00696531690576196,0.361074181998915
"EL",1,1.23243927612529e-24,0
"DE",0.725520623899806,0.0166742266537335,0.274479376100194
"FR",0.999999725779748,0.0191941680490353,2.74220251728075e-07
"FI",1,2.11849029660696e-132,0
"EE",0.988746338740011,0.017256018342266,0.0112536612599893
"DK",0.999998846499924,0.0306012872560039,1.15350007579007e-06
"CZ",1,9.71510104911184e-21,0
"CY",1,9.71510104911184e-21,0
"HR",0.972739747670444,2.59224424836048e-08,0.0272602523295555
"BG",1,9.71510104911184e-21,0
"BE",1,9.71510104911184e-21,0
"AT",0.999999995858533,0.0281553552583251,4.14146728022757e-09
